site,hhedu,hhhage,hhhsex,hhethnic,hhsize,u05,povline,windex3,windex5,FS_score,FS
korogocho,primary,36.0,male,Luo,8,2,yes,lowest,second,1,Moderately insecure
korogocho,primary,27.0,female,Kikuyu,4,1,yes,lowest,lowest,3,Severely insecure
korogocho,primary,28.0,female,Luo,6,2,yes,middle,middle,3,Severely insecure
viwandani,secondary,29.0,male,Kamba,2,0,no,lowest,lowest,2,Moderately insecure
korogocho,primary,36.0,male,Luhya,5,1,yes,middle,middle,3,Severely insecure
korogocho,primary,47.0,female,Luo,3,0,no,middle,middle,3,Severely insecure
viwandani,primary,45.0,male,Kamba,2,0,no,middle,fourth,0,Secure
korogocho,primary,53.0,male,Luhya,4,0,yes,middle,middle,3,Severely insecure
viwandani,secondary,28.0,male,Kamba,3,1,no,highest,highest,0,Secure
viwandani,secondary,41.0,male,Kisii,5,1,yes,highest,highest,0,Secure
viwandani,primary,39.0,male,Luo,7,0,yes,highest,fourth,0,Secure
viwandani,secondary,34.0,male,Kikuyu,5,0,no,highest,highest,0,Secure
korogocho,primary,34.0,male,Other,1,0,yes,highest,fourth,3,Severely insecure
viwandani,secondary,21.0,female,Kikuyu,2,0,yes,lowest,lowest,0,Secure
viwandani,primary,32.0,male,Luhya,1,0,no,lowest,lowest,0,Secure
viwandani,secondary,27.0,male,Kisii,6,1,yes,lowest,second,1,Moderately insecure
viwandani,secondary,34.0,female,Kisii,1,0,no,lowest,second,2,Moderately insecure
viwandani,secondary,32.0,male,Kikuyu,3,1,yes,highest,fourth,2,Moderately insecure
korogocho,secondary,28.0,male,Luhya,4,1,no,highest,highest,2,Moderately insecure
viwandani,secondary,37.0,male,Kamba,1,0,no,middle,fourth,0,Secure
viwandani,secondary,34.0,female,Kamba,1,0,no,lowest,lowest,0,Secure
korogocho,secondary,27.0,male,Luhya,3,0,yes,middle,middle,2,Moderately insecure
viwandani,secondary,29.0,male,Kisii,4,2,no,highest,highest,0,Secure
viwandani,secondary,32.0,male,Kisii,5,1,yes,middle,middle,0,Secure
korogocho,primary,23.0,female,Luo,7,1,yes,highest,highest,3,Severely insecure
korogocho,primary,27.0,male,Kikuyu,3,0,no,highest,highest,3,Severely insecure
korogocho,secondary,47.0,male,Luo,5,0,no,middle,middle,3,Severely insecure
viwandani,primary,54.0,male,Kamba,1,0,no,highest,highest,0,Secure
viwandani,primary,40.0,male,Other,6,0,no,highest,fourth,0,Secure
korogocho,primary,34.0,male,Luo,6,1,yes,middle,middle,0,Secure
viwandani,secondary,35.0,male,Kisii,1,0,no,highest,fourth,0,Secure
korogocho,primary,21.0,female,Luo,8,3,yes,middle,fourth,1,Moderately insecure
korogocho,secondary,29.0,male,Kikuyu,1,0,no,highest,fourth,2,Moderately insecure
viwandani,secondary,32.0,male,Kikuyu,3,0,no,middle,middle,0,Secure
korogocho,primary,37.0,male,Kamba,6,1,yes,lowest,lowest,3,Severely insecure
viwandani,primary,34.0,male,Kikuyu,4,2,no,highest,fourth,0,Secure
korogocho,never attended,55.0,male,Luhya,1,0,no,highest,fourth,2,Moderately insecure
viwandani,primary,30.0,male,Kamba,4,1,yes,middle,middle,0,Secure
viwandani,secondary,28.0,male,Kamba,3,1,yes,highest,fourth,0,Secure
korogocho,secondary,35.0,male,Kikuyu,5,1,yes,highest,fourth,3,Severely insecure
korogocho,primary,31.0,male,Luhya,1,0,no,middle,fourth,0,Secure
korogocho,primary,30.0,female,Kamba,5,0,yes,lowest,lowest,3,Severely insecure
korogocho,secondary,27.0,male,Kikuyu,3,1,yes,highest,fourth,3,Severely insecure
korogocho,secondary,32.0,male,Luhya,1,0,no,lowest,lowest,3,Severely insecure
viwandani,secondary,32.0,male,Luo,2,0,no,lowest,second,2,Moderately insecure
korogocho,primary,42.0,female,Kikuyu,2,0,no,lowest,lowest,2,Moderately insecure
viwandani,secondary,37.0,male,Kamba,2,1,no,middle,middle,0,Secure
viwandani,secondary,35.0,female,Kikuyu,1,0,no,highest,fourth,2,Moderately insecure
korogocho,never attended,45.0,male,Other,6,0,yes,highest,highest,0,Secure
korogocho,primary,26.0,male,Luo,6,2,yes,middle,middle,2,Moderately insecure
korogocho,primary,36.0,male,Kamba,4,0,yes,lowest,second,0,Secure
viwandani,secondary,29.0,male,Kikuyu,4,2,no,highest,fourth,2,Moderately insecure
viwandani,primary,50.0,female,Kamba,1,0,no,highest,highest,0,Secure
viwandani,primary,35.0,male,Kamba,1,0,no,middle,middle,2,Moderately insecure
korogocho,secondary,30.0,male,Luhya,3,1,no,highest,highest,0,Secure
viwandani,primary,35.0,male,Kamba,2,0,no,middle,middle,0,Secure
korogocho,primary,32.0,male,Luo,6,1,yes,middle,fourth,3,Severely insecure
viwandani,highest,24.0,male,Kikuyu,1,0,no,middle,fourth,0,Secure
korogocho,primary,39.0,male,Kamba,1,0,no,lowest,lowest,2,Moderately insecure
viwandani,secondary,33.0,male,Kikuyu,4,1,yes,highest,highest,2,Moderately insecure
korogocho,secondary,28.0,male,Luhya,3,1,no,highest,fourth,3,Severely insecure
viwandani,primary,48.0,male,Luhya,3,0,no,highest,highest,0,Secure
korogocho,primary,34.0,male,Luhya,2,0,no,lowest,lowest,3,Severely insecure
viwandani,primary,35.0,female,Kikuyu,4,0,no,highest,fourth,2,Moderately insecure
viwandani,highest,28.0,male,Kikuyu,3,1,no,highest,highest,0,Secure
korogocho,secondary,46.0,female,Kikuyu,5,0,no,highest,highest,0,Secure
korogocho,primary,36.0,male,Kikuyu,8,1,yes,highest,highest,0,Secure
viwandani,primary,42.0,male,Kamba,3,0,no,middle,fourth,3,Severely insecure
korogocho,primary,61.0,male,Kikuyu,2,0,no,middle,middle,1,Moderately insecure
korogocho,secondary,38.0,male,Kikuyu,5,1,yes,highest,fourth,3,Severely insecure
viwandani,secondary,44.0,male,Kamba,5,0,yes,highest,fourth,0,Secure
korogocho,never attended,55.0,female,Other,5,0,yes,highest,highest,3,Severely insecure
korogocho,secondary,31.0,female,Kikuyu,4,0,yes,highest,highest,1,Moderately insecure
viwandani,secondary,35.0,male,Kisii,4,1,yes,highest,highest,0,Secure
viwandani,secondary,25.0,male,Kikuyu,3,1,no,middle,second,2,Moderately insecure
viwandani,primary,27.0,male,Kamba,1,0,no,middle,middle,0,Secure
viwandani,secondary,36.0,male,Kisii,5,0,yes,highest,highest,3,Severely insecure
korogocho,secondary,31.0,male,Luo,8,2,yes,lowest,lowest,3,Severely insecure
korogocho,primary,51.0,female,Kikuyu,3,0,yes,highest,highest,2,Moderately insecure
korogocho,secondary,39.0,male,Kikuyu,1,0,no,lowest,lowest,2,Moderately insecure
viwandani,never attended,40.0,male,Other,5,0,no,highest,highest,0,Secure
korogocho,primary,36.0,female,Kikuyu,6,1,yes,lowest,lowest,3,Severely insecure
viwandani,primary,40.0,male,Kamba,3,1,no,middle,second,0,Secure
korogocho,never attended,76.0,female,Kikuyu,1,0,yes,lowest,lowest,2,Moderately insecure
viwandani,secondary,39.0,male,Kisii,6,0,yes,middle,middle,3,Severely insecure
viwandani,primary,32.0,male,Kikuyu,1,0,no,lowest,second,2,Moderately insecure
viwandani,secondary,40.0,male,Kamba,1,0,no,middle,middle,0,Secure
viwandani,secondary,28.0,male,Kikuyu,2,0,no,middle,fourth,2,Moderately insecure
viwandani,secondary,27.0,male,Kamba,3,0,yes,middle,middle,2,Moderately insecure
viwandani,secondary,42.0,male,Kikuyu,4,1,no,highest,highest,0,Secure
korogocho,primary,32.0,male,Luo,1,0,no,middle,second,1,Moderately insecure
korogocho,primary,45.0,male,Kikuyu,8,1,yes,highest,highest,1,Moderately insecure
korogocho,secondary,46.0,female,Kikuyu,2,0,yes,highest,fourth,1,Moderately insecure
korogocho,secondary,54.0,male,Luo,8,0,yes,highest,highest,0,Secure
viwandani,secondary,42.0,male,Luhya,9,1,yes,highest,highest,3,Severely insecure
korogocho,secondary,45.0,male,Luo,1,0,no,lowest,lowest,2,Moderately insecure
korogocho,secondary,21.0,male,Kikuyu,1,0,no,highest,highest,2,Moderately insecure
viwandani,secondary,30.0,male,Other,4,1,yes,highest,highest,0,Secure
korogocho,primary,59.0,female,Kikuyu,5,1,yes,middle,middle,0,Secure
viwandani,secondary,24.0,male,Luhya,4,0,yes,lowest,lowest,3,Severely insecure
korogocho,primary,29.0,female,Kamba,6,0,yes,lowest,second,3,Severely insecure
viwandani,primary,49.0,female,Luhya,5,0,yes,highest,highest,3,Severely insecure
viwandani,secondary,24.0,female,Kamba,2,0,no,middle,second,0,Secure
viwandani,secondary,32.0,male,Kisii,4,0,no,middle,middle,2,Moderately insecure
korogocho,primary,35.0,male,Luhya,2,0,no,lowest,lowest,3,Severely insecure
korogocho,primary,38.0,male,Kikuyu,5,1,yes,highest,highest,1,Moderately insecure
korogocho,primary,20.0,male,Luo,1,0,no,highest,fourth,2,Moderately insecure
korogocho,secondary,30.0,male,Luo,1,0,no,middle,middle,0,Secure
viwandani,never attended,54.0,female,Kisii,4,0,yes,lowest,second,3,Severely insecure
korogocho,primary,33.0,male,Luo,5,1,yes,highest,fourth,2,Moderately insecure
viwandani,secondary,27.0,female,Kikuyu,2,0,no,middle,middle,0,Secure
viwandani,primary,43.0,male,Kamba,1,0,no,lowest,second,2,Moderately insecure
korogocho,never attended,38.0,female,Luhya,7,0,yes,middle,middle,3,Severely insecure
viwandani,highest,32.0,male,Kikuyu,3,1,no,middle,middle,3,Severely insecure
korogocho,primary,39.0,male,Kamba,2,0,no,highest,highest,1,Moderately insecure
korogocho,highest,31.0,female,Luhya,2,0,no,middle,middle,0,Secure
viwandani,secondary,24.0,male,Kisii,3,1,no,middle,middle,3,Severely insecure
viwandani,secondary,28.0,male,Kamba,6,1,yes,highest,highest,0,Secure
korogocho,secondary,28.0,male,Kamba,1,0,no,lowest,second,2,Moderately insecure
viwandani,secondary,41.0,male,Kamba,4,0,no,middle,second,0,Secure
viwandani,secondary,36.0,male,Luhya,3,1,no,highest,fourth,2,Moderately insecure
korogocho,primary,46.0,male,Other,9,1,yes,middle,middle,3,Severely insecure
viwandani,primary,39.0,male,Kamba,1,0,no,middle,middle,1,Moderately insecure
viwandani,secondary,46.0,male,Kikuyu,6,1,yes,highest,fourth,2,Moderately insecure
korogocho,secondary,20.0,male,Luhya,1,0,yes,lowest,second,0,Secure
viwandani,secondary,19.0,male,Kikuyu,1,0,yes,lowest,lowest,2,Moderately insecure
viwandani,primary,39.0,female,Luo,1,0,no,highest,highest,0,Secure
korogocho,primary,50.0,male,Luo,2,0,no,middle,middle,3,Severely insecure
viwandani,secondary,27.0,male,Kisii,4,1,yes,highest,highest,0,Secure
korogocho,never attended,74.0,female,Kikuyu,1,0,no,lowest,lowest,2,Moderately insecure
viwandani,secondary,43.0,male,Kikuyu,1,0,no,lowest,lowest,0,Secure
viwandani,primary,25.0,male,Kikuyu,3,1,no,highest,fourth,2,Moderately insecure
viwandani,primary,31.0,male,Luhya,3,1,yes,middle,middle,0,Secure
viwandani,secondary,39.0,male,Kamba,5,0,no,highest,highest,0,Secure
viwandani,secondary,18.0,male,Kamba,2,0,no,lowest,lowest,0,Secure
viwandani,secondary,28.0,male,Kamba,5,2,yes,middle,middle,3,Severely insecure
korogocho,primary,43.0,female,Other,4,0,no,highest,highest,3,Severely insecure
korogocho,secondary,31.0,male,Kamba,3,1,yes,lowest,second,0,Secure
korogocho,secondary,18.0,male,Luo,5,1,yes,highest,fourth,2,Moderately insecure
viwandani,primary,57.0,male,Kikuyu,1,0,no,lowest,lowest,0,Secure
korogocho,primary,36.0,male,Luo,6,1,yes,highest,fourth,2,Moderately insecure
viwandani,primary,49.0,male,Kamba,1,0,no,middle,middle,0,Secure
korogocho,primary,32.0,female,Kikuyu,6,1,yes,middle,middle,3,Severely insecure
viwandani,highest,20.0,female,Kikuyu,3,0,yes,lowest,second,2,Moderately insecure
korogocho,secondary,51.0,male,Luhya,3,1,yes,lowest,second,0,Secure
viwandani,secondary,40.0,male,Kisii,1,0,no,middle,fourth,0,Secure
korogocho,secondary,23.0,male,Luhya,1,0,no,middle,middle,2,Moderately insecure
viwandani,secondary,26.0,male,Luo,3,1,yes,middle,second,0,Secure
korogocho,primary,30.0,male,Kikuyu,3,1,yes,highest,highest,1,Moderately insecure
viwandani,secondary,30.0,male,Kisii,3,1,yes,middle,fourth,0,Secure
korogocho,primary,20.0,female,Luo,7,0,yes,lowest,lowest,3,Severely insecure
korogocho,secondary,32.0,male,Kikuyu,3,1,no,middle,middle,0,Secure
viwandani,secondary,26.0,female,Kamba,1,0,no,highest,fourth,2,Moderately insecure
viwandani,primary,41.0,male,Luhya,1,0,no,lowest,second,0,Secure
korogocho,primary,44.0,female,Kikuyu,3,0,yes,middle,middle,1,Moderately insecure
viwandani,secondary,31.0,male,Kamba,5,1,no,highest,highest,0,Secure
korogocho,secondary,38.0,female,Kikuyu,2,0,no,highest,highest,0,Secure
viwandani,primary,38.0,male,Kamba,2,0,yes,lowest,lowest,1,Moderately insecure
viwandani,primary,57.0,female,Kikuyu,2,0,no,highest,highest,0,Secure
viwandani,primary,37.0,male,Kikuyu,4,0,yes,highest,highest,0,Secure
korogocho,secondary,35.0,male,Kikuyu,3,0,yes,highest,highest,0,Secure
korogocho,never attended,53.0,female,Other,6,0,yes,highest,highest,3,Severely insecure
viwandani,primary,33.0,female,Kikuyu,4,0,yes,middle,middle,3,Severely insecure
viwandani,secondary,33.0,female,Kamba,2,0,yes,highest,highest,0,Secure
korogocho,primary,70.0,male,Luhya,4,0,yes,highest,highest,3,Severely insecure
viwandani,secondary,39.0,male,Kamba,4,0,yes,lowest,second,3,Severely insecure
viwandani,primary,42.0,male,Kikuyu,1,0,no,lowest,lowest,0,Secure
viwandani,secondary,36.0,female,Kamba,3,1,yes,highest,highest,0,Secure
korogocho,secondary,26.0,male,Kikuyu,3,1,yes,middle,second,0,Secure
korogocho,secondary,34.0,female,Luhya,3,0,yes,middle,fourth,3,Severely insecure
viwandani,primary,42.0,female,Kamba,7,1,yes,highest,highest,3,Severely insecure
viwandani,secondary,24.0,male,Kamba,3,1,yes,middle,second,0,Secure
viwandani,secondary,30.0,male,Other,4,1,yes,highest,fourth,3,Severely insecure
korogocho,primary,39.0,male,Kamba,2,0,no,middle,fourth,2,Moderately insecure
viwandani,primary,36.0,female,Kamba,5,1,no,highest,fourth,0,Secure
viwandani,primary,47.0,male,Kikuyu,2,0,no,lowest,lowest,2,Moderately insecure
korogocho,primary,36.0,male,Other,5,2,yes,highest,highest,0,Secure
viwandani,secondary,31.0,female,Kikuyu,3,0,no,highest,highest,0,Secure
korogocho,secondary,36.0,male,Kamba,3,0,no,middle,middle,0,Secure
korogocho,primary,42.0,male,Luhya,3,0,no,highest,fourth,3,Severely insecure
korogocho,secondary,22.0,male,Kikuyu,3,0,yes,middle,middle,1,Moderately insecure
korogocho,secondary,29.0,male,Luhya,1,0,no,highest,highest,2,Moderately insecure
viwandani,primary,55.0,female,Luhya,3,0,no,middle,middle,0,Secure
korogocho,secondary,25.0,male,Kikuyu,1,0,no,middle,middle,1,Moderately insecure
korogocho,secondary,31.0,female,Kikuyu,1,0,no,middle,middle,2,Moderately insecure
viwandani,secondary,18.0,male,Kikuyu,1,0,no,lowest,lowest,2,Moderately insecure
viwandani,secondary,21.0,male,Kikuyu,3,1,no,highest,highest,0,Secure
viwandani,secondary,42.0,male,Kikuyu,3,1,no,highest,highest,0,Secure
korogocho,primary,28.0,female,Kikuyu,1,0,no,highest,highest,0,Secure
viwandani,primary,61.0,male,Kamba,9,0,yes,highest,highest,3,Severely insecure
korogocho,primary,50.0,female,Kamba,2,0,no,highest,highest,2,Moderately insecure
viwandani,secondary,38.0,male,Kamba,3,0,no,highest,highest,2,Moderately insecure
korogocho,primary,49.0,male,Other,1,0,no,middle,fourth,1,Moderately insecure
korogocho,secondary,48.0,male,Kamba,8,0,yes,middle,middle,0,Secure
korogocho,secondary,22.0,male,Luo,4,2,no,highest,highest,0,Secure
viwandani,secondary,42.0,male,Kamba,4,0,no,middle,second,0,Secure
viwandani,secondary,44.0,male,Kamba,1,0,no,middle,second,0,Secure
viwandani,highest,26.0,male,Kamba,1,0,no,highest,fourth,1,Moderately insecure
viwandani,secondary,55.0,male,Other,1,0,no,highest,highest,0,Secure
korogocho,primary,39.0,male,Luhya,1,0,yes,middle,middle,3,Severely insecure
korogocho,secondary,38.0,male,Luhya,3,1,yes,highest,fourth,1,Moderately insecure
viwandani,secondary,25.0,male,Kamba,3,1,yes,highest,highest,2,Moderately insecure
korogocho,primary,32.0,female,Kikuyu,3,0,yes,middle,fourth,1,Moderately insecure
viwandani,primary,56.0,male,Other,1,0,no,lowest,lowest,0,Secure
korogocho,secondary,33.0,male,Kikuyu,5,1,yes,highest,fourth,3,Severely insecure
viwandani,primary,26.0,male,Kamba,1,0,no,highest,fourth,0,Secure
korogocho,primary,51.0,female,Luo,3,0,no,highest,highest,1,Moderately insecure
viwandani,secondary,39.0,male,Kisii,4,0,no,middle,middle,2,Moderately insecure
viwandani,secondary,35.0,male,Kisii,5,0,yes,highest,highest,3,Severely insecure
viwandani,secondary,59.0,male,Luhya,3,0,no,middle,middle,3,Severely insecure
korogocho,never attended,69.0,female,Other,4,0,yes,lowest,second,3,Severely insecure
viwandani,secondary,38.0,male,Kikuyu,3,0,yes,lowest,lowest,3,Severely insecure
viwandani,secondary,26.0,male,Kikuyu,3,1,no,middle,fourth,3,Severely insecure
korogocho,primary,54.0,male,Kikuyu,7,1,yes,highest,highest,0,Secure
viwandani,secondary,54.0,male,Kamba,2,0,no,highest,highest,0,Secure
viwandani,primary,49.0,male,Kikuyu,4,0,yes,highest,fourth,3,Severely insecure
viwandani,highest,25.0,male,Luhya,2,0,no,lowest,lowest,2,Moderately insecure
viwandani,secondary,27.0,male,Kamba,3,1,yes,highest,highest,0,Secure
korogocho,primary,21.0,male,Luhya,1,0,no,lowest,lowest,0,Secure
viwandani,secondary,39.0,male,Kamba,4,0,yes,middle,middle,2,Moderately insecure
viwandani,primary,31.0,male,Luo,3,1,no,highest,highest,0,Secure
viwandani,primary,25.0,male,Luo,1,0,no,highest,fourth,0,Secure
viwandani,secondary,38.0,male,Kamba,1,0,no,highest,fourth,0,Secure
korogocho,secondary,27.0,male,Luo,2,0,no,middle,middle,1,Moderately insecure
korogocho,primary,55.0,male,Other,3,0,no,highest,fourth,1,Moderately insecure
viwandani,secondary,59.0,male,Kamba,3,0,no,middle,middle,1,Moderately insecure
viwandani,secondary,54.0,male,Kamba,2,0,no,middle,second,0,Secure
korogocho,primary,30.0,female,Kikuyu,3,1,no,middle,fourth,1,Moderately insecure
viwandani,secondary,31.0,male,Kikuyu,5,1,yes,highest,fourth,3,Severely insecure
korogocho,primary,35.0,female,Kikuyu,4,0,yes,lowest,second,3,Severely insecure
viwandani,secondary,50.0,male,Kisii,3,0,no,middle,middle,0,Secure
korogocho,highest,56.0,male,Kikuyu,3,0,no,highest,highest,0,Secure
viwandani,primary,31.0,male,Kikuyu,4,1,yes,lowest,lowest,3,Severely insecure
viwandani,secondary,38.0,male,Kikuyu,1,0,no,lowest,second,0,Secure
korogocho,primary,49.0,female,Kikuyu,1,0,no,middle,second,1,Moderately insecure
viwandani,primary,39.0,male,Kamba,2,0,no,middle,fourth,2,Moderately insecure
korogocho,secondary,41.0,male,Other,5,1,yes,highest,highest,1,Moderately insecure
korogocho,primary,67.0,male,Other,1,0,no,lowest,second,2,Moderately insecure
korogocho,secondary,53.0,male,Kikuyu,4,0,yes,lowest,lowest,0,Secure
korogocho,primary,57.0,male,Other,3,0,no,highest,highest,0,Secure
viwandani,secondary,28.0,male,Kisii,3,1,no,highest,fourth,3,Severely insecure
korogocho,never attended,43.0,male,Other,10,2,yes,middle,middle,0,Secure
viwandani,secondary,38.0,female,Kisii,3,0,no,highest,fourth,0,Secure
viwandani,never attended,56.0,male,Luhya,1,0,no,middle,second,0,Secure
viwandani,primary,47.0,male,Kamba,6,0,yes,highest,highest,0,Secure
viwandani,primary,37.0,male,Luhya,4,0,yes,middle,fourth,0,Secure
korogocho,secondary,38.0,male,Luo,6,1,no,middle,fourth,0,Secure
viwandani,secondary,18.0,male,Kamba,4,0,yes,lowest,lowest,1,Moderately insecure
korogocho,primary,35.0,male,Kikuyu,3,1,yes,highest,highest,1,Moderately insecure
korogocho,primary,38.0,male,Luo,5,1,yes,highest,highest,1,Moderately insecure
korogocho,primary,35.0,male,Luo,4,1,no,highest,highest,1,Moderately insecure
viwandani,primary,18.0,female,Kisii,2,0,yes,lowest,lowest,3,Severely insecure
viwandani,secondary,34.0,male,Kikuyu,4,1,no,highest,highest,0,Secure
viwandani,secondary,23.0,male,Kamba,1,0,no,lowest,second,3,Severely insecure
korogocho,primary,25.0,male,Luhya,4,2,yes,middle,middle,3,Severely insecure
viwandani,secondary,35.0,male,Kisii,4,0,yes,highest,highest,3,Severely insecure
viwandani,primary,61.0,male,Other,2,0,no,middle,second,2,Moderately insecure
viwandani,primary,25.0,female,Kikuyu,1,0,no,highest,fourth,0,Secure
viwandani,secondary,24.0,male,Luhya,3,1,yes,highest,fourth,0,Secure
viwandani,secondary,28.0,female,Kamba,1,0,no,lowest,lowest,0,Secure
viwandani,secondary,42.0,male,Kamba,1,0,no,middle,middle,2,Moderately insecure
viwandani,secondary,24.0,male,Kisii,3,1,yes,lowest,lowest,3,Severely insecure
viwandani,highest,27.0,female,Kamba,2,0,no,lowest,lowest,2,Moderately insecure
korogocho,secondary,21.0,male,Other,2,0,yes,middle,middle,0,Secure
viwandani,secondary,27.0,male,Kisii,3,1,yes,middle,second,1,Moderately insecure
viwandani,secondary,56.0,male,Luhya,1,0,no,highest,fourth,2,Moderately insecure
viwandani,secondary,29.0,male,Kamba,2,0,no,lowest,second,2,Moderately insecure
viwandani,secondary,28.0,female,Kikuyu,2,0,no,highest,highest,0,Secure
viwandani,secondary,24.0,male,Kikuyu,2,0,no,middle,middle,0,Secure
viwandani,secondary,48.0,male,Luo,4,1,no,highest,highest,0,Secure
viwandani,secondary,33.0,male,Luhya,4,0,no,middle,second,0,Secure
viwandani,primary,27.0,female,Kamba,3,0,no,highest,fourth,0,Secure
viwandani,primary,50.0,female,Kikuyu,3,0,no,lowest,second,2,Moderately insecure
viwandani,primary,36.0,male,Kamba,1,0,no,lowest,lowest,2,Moderately insecure
korogocho,secondary,18.0,male,Luhya,2,0,no,lowest,lowest,1,Moderately insecure
viwandani,secondary,35.0,female,Kikuyu,1,0,no,lowest,lowest,2,Moderately insecure
korogocho,highest,18.0,male,Kamba,4,0,yes,middle,middle,3,Severely insecure
viwandani,secondary,26.0,male,Kikuyu,3,1,no,highest,highest,0,Secure
viwandani,primary,29.0,female,Kikuyu,7,2,yes,highest,fourth,0,Secure
viwandani,never attended,18.0,female,Luo,4,0,no,highest,highest,3,Severely insecure
korogocho,primary,43.0,male,Luhya,6,2,yes,highest,highest,0,Secure
korogocho,primary,39.0,male,Kikuyu,6,2,yes,highest,highest,0,Secure
korogocho,primary,33.0,female,Kamba,9,1,yes,lowest,lowest,3,Severely insecure
korogocho,secondary,26.0,male,Kikuyu,1,0,yes,lowest,lowest,1,Moderately insecure
korogocho,primary,38.0,male,Kikuyu,1,0,no,middle,middle,0,Secure
viwandani,secondary,36.0,male,Kamba,4,0,no,highest,fourth,0,Secure
korogocho,primary,53.0,female,Kikuyu,7,1,yes,highest,highest,0,Secure
